FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,geom,couleur
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dfc,2020-12-30T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,1,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dfb,2020-12-30T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,2,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dfa,2020-12-30T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,3,1,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df9,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,3,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df8,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df7,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df6,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df5,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df4,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df3,2020-12-29T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df2,2020-12-28T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,2,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df1,2020-12-28T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,1,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3df0,2020-12-28T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,3,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3def,2020-12-28T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dee,2020-12-28T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,3,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3ded,2020-12-28T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dec,2020-12-28T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3deb,2020-12-27T10:00:00,4,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,4,3,0,POINT (349555.0070453745 6789093.386528317),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dea,2020-12-27T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de9,2020-12-27T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,3,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de8,2020-12-27T10:00:00,4,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,3,0,POINT (338719.75810268405 6844013.788199687),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de7,2020-12-27T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,4,3,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de6,2020-12-27T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,4,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de5,2020-12-27T10:00:00,5,Moyen,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,5,0,POINT (147878.22420658765 6837175.794037035),#FFFF00
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de4,2020-12-26T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,2,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de3,2020-12-26T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,3,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de2,2020-12-26T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de1,2020-12-26T10:00:00,2,Très bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,2,2,0,POINT (349555.0070453745 6789093.386528317),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3de0,2020-12-26T10:00:00,2,Très bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,2,2,0,POINT (269153.2682993477 6832824.934141148),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3ddf,2020-12-26T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,0,3,3,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dde,2020-12-26T10:00:00,2,Très bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,2,2,0,POINT (338719.75810268405 6844013.788199687),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3ddd,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3ddc,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3ddb,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dda,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd9,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,2,0,3,3,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd8,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,3,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd7,2020-12-25T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd6,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd5,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,2,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd4,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,1,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd3,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd2,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd1,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dd0,2020-12-24T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dcf,2020-12-23T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dce,2020-12-23T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dcd,2020-12-23T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,4,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dcc,2020-12-23T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,4,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dcb,2020-12-23T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,1,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dca,2020-12-23T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,1,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc9,2020-12-23T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,1,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc8,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc7,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc6,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc5,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc4,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc3,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,2,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc2,2020-12-22T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc1,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dc0,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dbf,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,3,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dbe,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,3,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dbd,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dbc,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dbb,2020-12-21T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dba,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db9,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db8,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,3,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db7,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db6,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db5,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db4,2020-12-20T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db3,2020-12-19T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db2,2020-12-19T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,3,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db1,2020-12-19T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,3,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3db0,2020-12-19T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3daf,2020-12-19T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dae,2020-12-19T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,2,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dad,2020-12-19T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,3,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dac,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3dab,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3daa,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da9,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da8,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,2,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da7,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da6,2020-12-18T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da5,2020-12-17T10:00:00,2,Très bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,2,0,2,2,0,POINT (172753.63056731108 6795400.543816281),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da4,2020-12-17T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,2,0,3,3,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da3,2020-12-17T10:00:00,2,Très bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),2,0,2,2,0,POINT (338719.75810268405 6844013.788199687),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da2,2020-12-17T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,3,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da1,2020-12-17T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,3,0,2,3,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3da0,2020-12-17T10:00:00,2,Très bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,2,2,0,POINT (349555.0070453745 6789093.386528317),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3d9f,2020-12-17T10:00:00,2,Très bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,2,2,0,POINT (269153.2682993477 6832824.934141148),#5CCB60
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3d9e,2020-12-16T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid--47ffe551_17ac9c621ee_-3d9d,2020-12-16T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
