,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2020/01/01 06:00:00+00,8.300000,19.900000,20.400000,36.800000,60.300000,124.400000,1.300000,6.100000,42.500000,129.900000,,11.600000,19.700000,39.300000,8.500000,2,1.800000,23.600000,3.800000,2.200000,15.200000,2.800000,3.100000,6,19.600000,7.200000,4.700000,14.700000,12.400000,6.100000,0.300000,0,5.500000,17.600000,40.200000,3,17.700000,8.900000,69.200000,9.600000,10
2020/01/01 07:00:00+00,11.100000,17.500000,15.800000,34.900000,37.500000,111.800000,3,21.600000,37.600000,116.900000,,22.500000,20.100000,23.700000,7.500000,16.100000,5.900000,27.300000,3.200000,7.200000,18.400000,1.600000,2.100000,4.900000,14.900000,15,13.200000,16.600000,11.500000,18.700000,0.100000,0,7.400000,10.800000,42.200000,4.400000,19.200000,9.100000,92.500000,13.200000,11
2020/01/01 08:00:00+00,7.900000,21.400000,11.900000,33.400000,46.500000,88.100000,16.800000,17.900000,32.600000,89.300000,,7.100000,25.800000,27.500000,3.400000,17.800000,5.800000,22.100000,3.200000,15.100000,17,1.200000,2.300000,2.900000,13.800000,15.900000,11.800000,11.800000,7.400000,17.600000,0.100000,0,15.300000,5.200000,33.700000,5.700000,10.100000,7,64.200000,12.600000,12
2020/01/01 09:00:00+00,9.700000,23.600000,12.800000,41.100000,64,78,17,16.900000,35,98.300000,,9,42.500000,31.800000,5.700000,19.500000,3.800000,26.700000,3.800000,17.200000,14.700000,2.300000,4.200000,3.300000,16.200000,17.700000,14.200000,14.800000,10.300000,17.600000,0.700000,1.400000,20.100000,7.200000,33.500000,6.700000,7.300000,8.800000,64.500000,11.500000,13
2020/01/01 10:00:00+00,13.200000,25.600000,18,60.800000,71.700000,81,18,19.100000,46.200000,120.900000,,13.100000,33.600000,34.800000,7.300000,18.700000,0.900000,41,5.700000,19.300000,15.600000,3.200000,8.100000,5.200000,14.500000,22.200000,18.200000,14.600000,12.800000,19,1.100000,1.400000,19.500000,7.100000,54.400000,8.400000,14.700000,11.500000,65.400000,14.500000,14
2020/01/01 11:00:00+00,14.700000,45.900000,16.100000,67.500000,140.900000,123.600000,20.300000,23.200000,44,138.600000,,19.900000,46.300000,39.600000,8.400000,20.800000,4.400000,50.700000,6.600000,22.500000,17.600000,3.600000,12.800000,5.900000,12.100000,27.200000,21.800000,18.400000,14,21.900000,1.200000,0.600000,17.600000,9.700000,61,7,17.300000,14.200000,94.700000,12.600000,15
2020/01/01 12:00:00+00,12.200000,38.200000,26.300000,84.100000,156.600000,137.100000,25.400000,32.600000,47.900000,169.700000,,20.500000,53.900000,43.700000,6.700000,21.900000,7.800000,51,6.200000,28.700000,15.700000,3.400000,15.400000,5.400000,10,22.200000,19.600000,17.200000,15.500000,20.700000,1.200000,0.500000,17.800000,9.300000,86.700000,7,18.100000,12.600000,112.900000,11.200000,16
2020/01/01 13:00:00+00,17.100000,48.900000,16.800000,73.900000,71.300000,113.500000,30.200000,32.200000,36.200000,157.400000,,17.900000,39.400000,48.100000,6.100000,20.400000,14.300000,57.600000,5.600000,27.500000,17.100000,3,13.500000,4.300000,16.700000,30.800000,22.100000,19.700000,14.400000,25.200000,0.500000,0.200000,23.800000,8.600000,91.400000,5.900000,12.200000,12.800000,99.800000,15.200000,17
2020/01/01 14:00:00+00,19.700000,57.100000,14.200000,78.900000,100.800000,124.600000,22,23.400000,52.700000,133.200000,,10,38.900000,40.400000,4.800000,24.600000,9.300000,51.100000,5.200000,26.400000,21,2.600000,8.800000,4.400000,15.900000,25.800000,12.600000,14.100000,15.300000,23.100000,0.400000,0.200000,19.800000,8.100000,76.900000,6.300000,9.100000,11.600000,132.400000,15.700000,18
2020/01/01 15:00:00+00,14.400000,39.400000,14.200000,80.400000,103.100000,145.200000,22.100000,22.900000,49.500000,165.800000,,10,45.500000,50,5.200000,23.400000,8.300000,51.900000,4.700000,26.600000,17.500000,3.100000,10.300000,4.200000,12.500000,25.600000,17.700000,16.100000,10.700000,22.700000,0.400000,0.700000,18.800000,6,84.700000,8.200000,6.500000,11.200000,121.400000,12.900000,19
2020/01/01 16:00:00+00,17.400000,48.900000,12.300000,117.100000,131.900000,139.300000,18.300000,21.600000,53.100000,90.600000,,8,48.700000,58.300000,4.100000,21.100000,6.400000,50.400000,4.100000,25.100000,17.600000,2.300000,11.700000,3.900000,13.100000,21.500000,18.400000,12.100000,11.100000,19.800000,0.200000,0.200000,13.100000,6.800000,103.300000,10.100000,7.300000,11.700000,94.600000,15,20
2020/01/01 17:00:00+00,19.800000,71.800000,17.100000,126.400000,110.800000,163.100000,27.200000,26.900000,59.500000,155.300000,,11.200000,58.800000,70.200000,6.100000,25.700000,2.500000,63,5.300000,30.100000,19.100000,1.600000,7.300000,3.200000,12.500000,26.400000,26.200000,13.900000,9.800000,20.400000,0.100000,0.200000,17.200000,7.900000,114.400000,11.800000,11,8.800000,165.900000,12.700000,21
2020/01/01 18:00:00+00,19.600000,95.200000,25.700000,112.700000,122.100000,174.600000,31.400000,30.400000,65.100000,131.200000,,13.600000,47.400000,83.900000,4.300000,25.100000,1.400000,61.900000,6.700000,40.900000,20.100000,2.900000,8.500000,3.600000,13.900000,27.700000,17.800000,19.900000,13.300000,28.600000,0,0.200000,27,8.100000,122.300000,11.300000,18,11.500000,139.600000,11.100000,22
2020/01/01 19:00:00+00,19,82.300000,22.800000,81.800000,102.200000,173,46.900000,31.800000,59.600000,113.600000,,22.800000,57.800000,84,5.100000,25.400000,3.200000,57.200000,6.500000,36.800000,18.500000,3,14.900000,2.900000,13.600000,28.300000,25.500000,15.600000,12.800000,23.800000,0.100000,0,25.100000,8.200000,94.100000,8.800000,20.300000,10.900000,94.900000,11.800000,23
2020/01/01 20:00:00+00,26.100000,82.600000,19.700000,113.100000,115.900000,154.700000,36.800000,25.100000,52.500000,108.700000,,21.300000,37.600000,87.600000,4.500000,26.400000,1.900000,60.200000,8,32.700000,22.400000,2.400000,15.600000,2.700000,11.700000,30.200000,29.100000,18.200000,13.900000,24.400000,0,0,33.100000,6.700000,108.700000,12.400000,17.900000,10.700000,119,12.600000,24
2020/01/01 21:00:00+00,20.600000,54.300000,15,75.800000,71.800000,120,33.600000,25.300000,40.400000,115.900000,,20.300000,34.700000,63.200000,3.100000,18.400000,4.200000,41.100000,6.200000,30,10.600000,0.900000,16.700000,3.200000,13.300000,30.700000,13.700000,16,12.100000,20.400000,0.100000,0,40.500000,6.400000,70.600000,9.500000,10,9.500000,75.300000,12.500000,25
2020/01/01 22:00:00+00,19.600000,37.500000,12.500000,82.500000,80.500000,111.300000,24.700000,25.300000,48.800000,108.600000,,14.100000,27,42.400000,2.300000,20.100000,3.800000,32.300000,5.200000,20.600000,7.500000,0,14.200000,3.200000,12.400000,27.400000,14.100000,12.200000,11,17,0,0,29.700000,7.700000,99.200000,5.900000,7.200000,9.300000,60.200000,14.100000,26
2020/01/01 23:00:00+00,13.800000,27.100000,8.500000,59,63.500000,101,28.600000,20.400000,37.500000,77.900000,,10.400000,26.600000,46.500000,2.500000,17.100000,2.400000,27.700000,3.500000,22,7.800000,0.700000,12.500000,2.300000,11.800000,20.600000,6.200000,10,8.300000,13.600000,0,0,25.500000,5.500000,56.500000,4.500000,5.100000,7.600000,73.400000,11.700000,27
2020/01/02 00:00:00+00,9.900000,22.200000,8.100000,34.900000,55.200000,71.400000,20.700000,16.200000,34.200000,74.200000,,8.300000,36.100000,23.300000,1.500000,11.300000,1.300000,25.500000,2.900000,16,4.700000,0.200000,10.800000,2.200000,13.100000,17.100000,7.900000,7.700000,6.900000,10.100000,0,0,20.900000,5.400000,29.800000,2.400000,4.200000,6,72.700000,8.700000,28
2020/01/02 01:00:00+00,6.900000,14.400000,6.900000,20.100000,47.300000,54,13.500000,10.300000,27.200000,51.300000,,7.100000,18,14.300000,1.100000,8.300000,1.800000,16.500000,2,11.500000,4.700000,0,11,1.500000,12.300000,14.200000,5.600000,8.900000,5.100000,13.500000,0,0,16.600000,4.700000,19.800000,1.700000,4.400000,3.900000,40.400000,9.300000,29
2020/01/02 02:00:00+00,5.800000,16.100000,4.900000,16.400000,74.700000,51,12.400000,7.800000,38.400000,46.700000,,7.300000,22.300000,15.800000,0.200000,8.800000,1.800000,9.500000,2.200000,14.800000,2.200000,0,6.200000,1.400000,12.500000,11.300000,4.900000,4.600000,3.400000,9.900000,0,0,10,3.800000,17.200000,1.100000,5.200000,4.500000,30.500000,9.800000,30
2020/01/02 03:00:00+00,3.800000,9.300000,5.500000,16.400000,75.600000,62.700000,11.200000,11.800000,34.700000,42.600000,,6.100000,17.600000,6.500000,0.200000,7.200000,1.300000,10,2.100000,17.300000,1.900000,0,10.500000,0.900000,9.500000,10.800000,4.200000,4.300000,3.100000,8.400000,0,0,10.300000,5.100000,10.800000,1.800000,4.200000,4.300000,27.800000,7.800000,31
2020/01/02 04:00:00+00,4.300000,28.100000,6.200000,16.800000,129,95.300000,14.200000,11.900000,46.800000,65.400000,,6.100000,15.900000,15.700000,1.100000,8.400000,1.200000,9.900000,1.600000,21,1.800000,0,15.200000,1.100000,11.700000,12.600000,3.700000,4.500000,3.700000,9,0,0,13.600000,5.100000,9.200000,1.200000,4,8.600000,36.100000,9.200000,32
2020/01/02 05:00:00+00,9.100000,63,15.500000,33.500000,246.200000,171.300000,22.800000,20.900000,67.900000,147.900000,,15,27.900000,40.800000,1.800000,12.900000,0.800000,23.900000,3.200000,34.300000,5.500000,0.400000,21.500000,2.200000,18.600000,16.700000,8.400000,8.800000,6.900000,12.400000,0,0,23.800000,6.700000,29.300000,3.100000,7.100000,21.400000,51.900000,13.900000,33
2020/01/02 06:00:00+00,23,99.200000,41.700000,64.400000,332,237.600000,35.200000,36.700000,91.600000,209.500000,,36.300000,60.400000,85.800000,9.400000,29.800000,0.400000,43.400000,4.500000,72.100000,13.200000,1.700000,25.900000,5.200000,32.300000,27.700000,16.300000,23.400000,19,22.500000,0,0,45.500000,12.500000,72.500000,7,16.200000,31.400000,147.800000,32.300000,34
2020/01/02 07:00:00+00,34.700000,177.900000,63.100000,117.300000,375.400000,252.400000,63.100000,53.200000,142.800000,278.800000,,35.500000,115.500000,146.100000,7.100000,50.800000,1.100000,90.300000,27,110,34.700000,4.700000,35.300000,6.900000,42.700000,54.400000,40,49.700000,38.800000,41.700000,0,0,71.700000,27.300000,119.400000,8.500000,25.700000,36.600000,192.300000,50.500000,35
2020/01/02 08:00:00+00,62.200000,217.200000,84.800000,233.100000,370.900000,217.500000,95.900000,57,228.800000,238.400000,,30,141.700000,238.800000,20.600000,64.200000,0.700000,114.400000,49.700000,70.600000,96.300000,7.800000,53.400000,20.800000,20.500000,68.600000,55.300000,62.700000,70.100000,62.500000,0,0,72.100000,35.900000,173.400000,12.700000,30.700000,60.600000,183.200000,70.600000,36
2020/01/02 09:00:00+00,69.400000,94.600000,102.100000,208.200000,287,246,112.100000,77.100000,301.500000,288.500000,,55.500000,185.200000,172.500000,32.200000,49.800000,0.500000,129.300000,27.400000,51.500000,152.200000,13.100000,61.800000,23,13.400000,80.500000,66.500000,92.700000,76.700000,74.900000,0.100000,0,102.900000,45.700000,165.600000,10.600000,44.700000,55.200000,215.500000,66,37
2020/01/02 10:00:00+00,63,115.900000,89.800000,179.700000,257.500000,273.700000,116.500000,70.600000,217.100000,236.600000,,60.900000,175.400000,115.800000,25.500000,34,1.900000,100.600000,17.800000,39.300000,125.100000,23.300000,69.200000,8.800000,11,46,46.300000,80.700000,63.700000,55.600000,0.200000,0.200000,102.500000,38.500000,134.500000,5,49,29.300000,177.300000,16.200000,38
2020/01/02 11:00:00+00,30.600000,81.200000,51.800000,136.200000,238.900000,234.900000,44.400000,57.300000,188.300000,203.200000,,52.100000,108.400000,79,23.200000,23.400000,4.600000,68.400000,13.600000,23.200000,84.200000,12.200000,32.800000,6.800000,9.500000,19.600000,14.500000,29.700000,35.100000,25.500000,0.100000,0.300000,48.300000,55.900000,78.800000,2,38.200000,15.200000,175.500000,7,39
2020/01/02 12:00:00+00,13.700000,62.900000,41.100000,118.800000,223.100000,117.400000,15.700000,25.600000,188.800000,126.400000,,28.300000,92.800000,33,12.500000,11.200000,4.100000,73.900000,9.800000,7.100000,58.600000,6.200000,9.600000,8.800000,6,14.100000,9.400000,14.900000,19.200000,10,0.100000,0.200000,16.500000,26,49.300000,2,22.200000,10,146.500000,3.900000,40
2020/01/02 13:00:00+00,13.500000,94.800000,37.300000,164.400000,221.700000,126.300000,18,20.300000,180.900000,122,,13.300000,81.200000,37.600000,12.200000,11.600000,3.300000,48.500000,12,9,19,4.600000,7,10.300000,7,,9.300000,18.800000,13.100000,10.600000,0.100000,0,13.900000,14.800000,68.400000,1.500000,12.800000,9,108.400000,4.300000,41
2020/01/02 14:00:00+00,10.900000,93.300000,30.400000,122.700000,228,100.600000,,16.900000,152.700000,121.600000,,12.200000,59.200000,30.600000,10.400000,8.900000,3.300000,51.500000,9,4.900000,11.900000,4.100000,9.400000,7,6.800000,,6.300000,14.200000,12.100000,7.300000,0.100000,0,7.700000,9,58.100000,1.300000,16.900000,7.500000,102.800000,2.700000,42
2020/01/02 15:00:00+00,10.600000,82.700000,24.400000,130.200000,190.500000,130.200000,,8.600000,134.400000,124.200000,,7.500000,56.300000,31.200000,8.100000,8.200000,1.500000,43.900000,8.700000,3.700000,6.600000,3.700000,6.600000,5.500000,7.300000,,3.400000,10.900000,8.800000,5,0.100000,0,6.200000,8.100000,69.400000,1,10.700000,5.300000,88.600000,1.900000,43
2020/01/02 16:00:00+00,7.500000,83.900000,32.400000,142.600000,277.900000,109.600000,,8.500000,121,119.600000,,5.400000,60.200000,27.400000,6.300000,6.100000,1.200000,38.400000,14.300000,2.800000,4.800000,2.800000,7.200000,3.700000,4,7.200000,2.500000,8.800000,5.900000,5.200000,0.100000,0,3.300000,4.900000,63,0.500000,8.500000,4,83.200000,1.200000,44
2020/01/02 17:00:00+00,9.100000,91,29.900000,135.500000,223,180.700000,,7.500000,110.600000,116.800000,,6.400000,60.800000,32.500000,7,9.200000,0.800000,48.100000,12.800000,2.600000,3.900000,3.900000,4.200000,6.300000,4.800000,11,2.700000,13.500000,9.800000,3.900000,0,0,4.400000,4,41.300000,0.700000,9.400000,4.600000,96.300000,2,45
2020/01/02 18:00:00+00,14,77.900000,35.800000,182.400000,207.200000,121.500000,7.900000,9.400000,84.400000,148.300000,,6.100000,51,27.200000,4.500000,11.200000,0.600000,63.400000,8.900000,4,4.300000,2,4.900000,7.200000,4.700000,13.200000,4,15,10,10.300000,0,0,14.500000,3.100000,72.100000,0.700000,5.500000,3.700000,99.900000,2.800000,46
2020/01/02 19:00:00+00,9.600000,49.800000,37.100000,135,139.900000,132.700000,7.700000,8.300000,73.100000,111.600000,,4.300000,39.500000,33.200000,3.400000,6.800000,0.900000,50.400000,7,2.900000,4.200000,1.600000,6.700000,4.400000,3.100000,10.800000,2.400000,10.900000,10.100000,7.500000,0,0,7.700000,2.700000,54,0.500000,3.400000,2.800000,75.500000,1.600000,47
2020/01/02 20:00:00+00,11.300000,28.200000,15.300000,110.200000,85.500000,175.800000,3.700000,5.900000,72.900000,132.600000,,2.300000,33.800000,39.300000,2.800000,6.100000,0.800000,37.900000,4.500000,1.900000,3,0.500000,4.300000,2.500000,2.500000,9.900000,2.700000,8.300000,6.600000,9.900000,0,0,8.800000,2.100000,64.500000,0.600000,3.400000,1.900000,69.500000,1.200000,48
2020/01/02 21:00:00+00,7.300000,19.100000,11,76.900000,55.500000,113.600000,2.500000,4.500000,66.900000,148.600000,,1.400000,25.400000,22.300000,1.500000,4.300000,0.800000,29.800000,3.300000,1.500000,3.200000,0.200000,3.300000,0.900000,1.800000,5.800000,1.700000,7.100000,5.100000,6.700000,0,0,8.600000,1.900000,25.100000,0.200000,1,1.500000,62.400000,0.600000,49
2020/01/02 22:00:00+00,2.800000,20.700000,5.600000,63.600000,46.700000,44.700000,2.100000,3,52.300000,107.700000,,1.200000,22.200000,10.700000,1.200000,3.300000,0.600000,39,2.900000,1,2.500000,0,1.800000,1,1.100000,3.800000,1.100000,4.800000,2.200000,2.500000,0,0,1.600000,2,24.300000,0.200000,1.700000,0.400000,47.900000,0.300000,50
2020/01/02 23:00:00+00,1.200000,9.900000,4,50.100000,35.600000,48.200000,,2.300000,44.200000,87.600000,,0.800000,31.100000,8.400000,0.400000,1.300000,0.800000,14.600000,2.500000,0.700000,1.600000,0,1.200000,1.100000,0.900000,2.200000,1.200000,3.300000,1.600000,1.300000,0,0,1.400000,1.300000,18.800000,0.300000,0.200000,0.800000,24.300000,0.400000,51
2020/01/03 00:00:00+00,1.200000,11.700000,3.800000,25,25.700000,36.900000,1.100000,1.300000,29.200000,60.400000,,0.700000,25.600000,3.800000,0.700000,1.400000,0.700000,10.900000,1.900000,0.500000,1.100000,0,1.300000,0.500000,0.700000,2.100000,0.700000,2.200000,2.100000,1,0,0,0.900000,1.400000,13,0.100000,0.500000,0.300000,23.400000,0.100000,52
2020/01/03 01:00:00+00,0.500000,5.600000,3.300000,14.100000,21.400000,24.600000,1.500000,0.600000,21.400000,41,,0.500000,11.900000,1.600000,0,0.500000,0.800000,10.600000,2.300000,0.700000,0.800000,0,0.800000,0.600000,0.700000,2,0.500000,1.300000,1.100000,0.800000,0,0,0.300000,1.500000,9.800000,0.100000,0.500000,0.600000,14.100000,0.100000,53
2020/01/03 02:00:00+00,0.100000,3.100000,1.800000,9,20.300000,24.700000,0.200000,0.500000,13.500000,38.700000,,0.600000,7.600000,1.200000,0,0.900000,0.600000,4.600000,2,0.400000,0.900000,0,0.700000,0.600000,0.600000,1.700000,0.300000,2,0.900000,0.400000,0.100000,0,0,1,3.700000,0.100000,0,0.400000,13.500000,0.200000,54
2020/01/03 03:00:00+00,0,4.900000,2.200000,7.100000,33.400000,27.500000,0.400000,0.400000,15.300000,37.900000,,0.200000,4.700000,0,0,0.300000,0.800000,3.600000,2,0.500000,1.100000,0,0.500000,0.800000,0.700000,1.400000,0.200000,1.700000,0.600000,0.500000,0,0,0.100000,1.300000,2.200000,0.100000,0.100000,0.600000,9.100000,0.200000,55
2020/01/03 04:00:00+00,0,6.500000,1.600000,12,45.700000,46.400000,0.900000,0.500000,19.800000,58.300000,,0.400000,9.200000,0.300000,0,0.400000,0.800000,4.200000,1.700000,0.600000,1.400000,0,0.400000,3,0.500000,1.900000,0.200000,1.800000,1,0.500000,0,0,0.100000,1.600000,1.600000,0.100000,0.200000,0.400000,9.900000,0.100000,56
2020/01/03 05:00:00+00,0.100000,20.900000,4.100000,9.600000,95.200000,53.600000,2.600000,1.300000,52,92.900000,,0.200000,4.700000,0.900000,0.400000,0.700000,0.800000,4,2.700000,1.600000,1.200000,0,0.900000,1.500000,0.900000,2.400000,0.500000,1.800000,1.500000,0.800000,0,0,0.400000,1.600000,4.800000,0.100000,0.100000,0.800000,30.100000,0.100000,57
2020/01/03 06:00:00+00,2,37,5.900000,31.800000,93.600000,55.600000,4.400000,3.500000,72.500000,89.800000,,1.300000,19.800000,7.300000,1.100000,1.700000,0.700000,11,4.800000,0.900000,0.800000,0.100000,1.800000,2.400000,3.200000,3.200000,1.100000,3.100000,2.100000,1.300000,0,0,1.200000,1.800000,11.100000,0.300000,0.600000,1.800000,32.600000,0.500000,58
2020/01/03 07:00:00+00,2.900000,75.600000,11.100000,58.900000,107.200000,54.300000,6.500000,6.100000,81.700000,127.600000,,1.700000,40.900000,17.800000,2.600000,6,0.500000,18.600000,7.900000,2.300000,1.300000,0.500000,2.300000,3.900000,4.200000,4.200000,1.600000,3.700000,3.600000,2.400000,0,0,3.600000,3.300000,24.700000,0.500000,1,2.900000,39.900000,0.800000,59
2020/01/03 08:00:00+00,3.500000,91.900000,24.200000,82.400000,132.400000,37.600000,6,6.100000,107.600000,130.100000,,2.500000,41.700000,19.200000,4.100000,5.800000,0.900000,30.100000,8.100000,1.800000,2.600000,1,5.500000,5.200000,2.700000,7,2.600000,4.500000,4.100000,2.900000,0,0,6.800000,2.700000,27.900000,0.800000,1.200000,2.300000,30.400000,1,60
2020/01/03 09:00:00+00,10.100000,63.600000,16.200000,124.100000,145.700000,52.100000,8.300000,9.800000,144.800000,111.100000,,4,90.200000,16.100000,4.800000,8.100000,0.900000,31.600000,5.500000,3,3.900000,1.400000,6.900000,4.100000,2.600000,9.700000,4.500000,7.400000,5.800000,4.900000,0.100000,0,7,3.600000,37.800000,0.800000,1.800000,4.300000,55.500000,1.800000,61
2020/01/03 10:00:00+00,8.300000,70.700000,16.700000,121.700000,130.200000,38.500000,11,12.100000,124.300000,155,,7.100000,59.600000,24.100000,5.700000,4.500000,1.300000,38.500000,6.500000,3.400000,7.700000,2.700000,8.100000,3.800000,4.700000,6.600000,3.500000,8.800000,7.200000,6.900000,0.200000,0.100000,11.900000,7.200000,53.700000,1.300000,5.800000,10.300000,32.200000,2.500000,62
2020/01/03 11:00:00+00,5.100000,59.600000,21,111.900000,118.600000,32.800000,5.900000,6.800000,107.500000,160.100000,,5.100000,33.200000,16.600000,6.500000,3.700000,1.600000,38.100000,5.800000,2.500000,4.500000,2.700000,5.100000,3.100000,5.300000,5,3.700000,7.300000,5.300000,5.800000,0.400000,0.100000,6.200000,8.100000,32.900000,,4.500000,8.700000,17,2,63
2020/01/03 12:00:00+00,3.900000,74.800000,7.500000,112,110,17.200000,6.200000,3.100000,126.400000,161.100000,,3,43.300000,14.400000,3.900000,4.200000,1.800000,26.200000,4.700000,2.400000,2.400000,2.100000,3.500000,3.800000,2.800000,3.300000,3.100000,5.700000,3.900000,4.400000,0.200000,0,2.400000,4.600000,41,0.900000,2.200000,4.300000,11.800000,1.700000,64
